,PROTEIN
4979,ORF1ab polyprotein
11891,surface glycoprotein
1650,ORF1ab polyprotein
5810,ORF1a polyprotein
7805,ORF1ab polyprotein
3274,ORF1a polyprotein
824,ORF1ab polyprotein
3889,ORF1ab polyprotein
7230,nucleocapsid phosphoprotein
422,ORF1ab polyprotein
6046,nucleocapsid phosphoprotein
8513,ORF1ab polyprotein
7847,ORF1ab polyprotein
280,ORF1ab polyprotein
11115,surface glycoprotein
12749,ORF1a polyprotein
12906,ORF1ab polyprotein
6532,ORF1ab polyprotein
6884,ORF1a polyprotein
4954,ORF3a protein
8894,ORF1ab polyprotein
5430,surface glycoprotein
6377,ORF1ab polyprotein
8255,ORF1ab polyprotein
1075,nucleocapsid phosphoprotein
1643,ORF1a polyprotein
4789,ORF1ab polyprotein
4966,ORF1ab polyprotein
9857,ORF1a polyprotein
12877,ORF1a polyprotein
7221,ORF1a polyprotein
1278,ORF1ab polyprotein
2159,ORF1a polyprotein
5834,ORF1a polyprotein
7497,ORF1a polyprotein
1713,ORF1ab polyprotein
3700,ORF1a polyprotein
3705,surface glycoprotein
1920,ORF1ab polyprotein
4306,ORF1ab polyprotein
1312,ORF1ab polyprotein
13068,nucleocapsid phosphoprotein
5638,nucleocapsid phosphoprotein
10671,ORF1a polyprotein
2789,ORF1a polyprotein
12919,ORF4b protein
9749,ORF1ab polyprotein
5754,ORF1a polyprotein
1990,ORF1ab polyprotein
5507,ORF1ab polyprotein
10561,ORF1a polyprotein
7840,surface glycoprotein
13193,ORF6 protein
440,ORF1ab polyprotein
6960,ORF1a polyprotein
6186,ORF1ab polyprotein
6447,ORF1ab polyprotein
556,ORF1ab polyprotein
10882,ORF1a polyprotein
4662,ORF1ab polyprotein
1698,ORF1ab polyprotein
12580,ORF1ab polyprotein
7303,surface glycoprotein
12033,ORF1ab polyprotein
5001,ORF1ab polyprotein
2599,surface glycoprotein
9465,ORF1ab polyprotein
6676,ORF1a polyprotein
4489,ORF1ab polyprotein
3666,ORF3a protein
10796,ORF1ab polyprotein
9061,ORF1a polyprotein
5627,ORF1a polyprotein
9790,ORF1ab polyprotein
1152,ORF1a polyprotein
12016,ORF1a polyprotein
1403,membrane glycoprotein
4702,ORF1ab polyprotein
3847,ORF1a polyprotein
2233,ORF1ab polyprotein
9987,ORF1a polyprotein
11882,ORF1ab polyprotein
12247,ORF1ab polyprotein
11805,surface glycoprotein
3040,ORF1a polyprotein
7530,surface glycoprotein
6514,ORF1a polyprotein
12266,ORF5 protein
6930,ORF1a polyprotein
4996,ORF1a polyprotein
2417,ORF1a polyprotein
8359,ORF1ab polyprotein
3251,nucleocapsid phosphoprotein
49,ORF1a polyprotein
3253,ORF1ab polyprotein
4546,ORF1ab polyprotein
5682,ORF1ab polyprotein
11633,surface glycoprotein
4455,ORF1ab polyprotein
2074,ORF1a polyprotein
1699,ORF1ab polyprotein
974,ORF1ab polyprotein
11480,ORF1ab polyprotein
521,ORF1ab polyprotein
2335,surface glycoprotein
10264,nucleocapsid phosphoprotein
9159,ORF1ab polyprotein
4878,surface glycoprotein
298,ORF1a polyprotein
11296,ORF1ab polyprotein
308,ORF1a polyprotein
772,surface glycoprotein
8856,ORF1ab polyprotein
9896,ORF1ab polyprotein
4049,ORF1ab polyprotein
7268,ORF3a protein
9610,ORF1a polyprotein
10450,ORF1ab polyprotein
5296,ORF1ab polyprotein
7145,ORF1ab polyprotein
11482,ORF1a polyprotein
1567,nucleocapsid phosphoprotein
7044,ORF1a polyprotein
2305,surface glycoprotein
4173,ORF1ab polyprotein
5596,ORF1a polyprotein
8861,ORF1ab polyprotein
6497,ORF8 protein
3546,ORF1a polyprotein
12778,ORF1ab polyprotein
2544,ORF1a polyprotein
8747,ORF1a polyprotein
214,ORF1ab polyprotein
5974,ORF1a polyprotein
8072,ORF1a polyprotein
10497,ORF1ab polyprotein
7158,nucleocapsid phosphoprotein
10149,ORF8 protein
2348,ORF1a polyprotein
6024,ORF1a polyprotein
4463,nucleocapsid phosphoprotein
10776,ORF1ab polyprotein
9944,ORF1ab polyprotein
7232,ORF1ab polyprotein
5842,ORF1ab polyprotein
12502,ORF1a polyprotein
289,ORF1ab polyprotein
11040,ORF8 protein
12935,ORF1ab polyprotein
7373,ORF1ab polyprotein
11476,surface glycoprotein
9071,nucleocapsid phosphoprotein
9840,ORF1a polyprotein
7656,ORF1ab polyprotein
7836,ORF1ab polyprotein
210,ORF1ab polyprotein
7859,ORF1a polyprotein
13051,ORF8b protein
8347,ORF1ab polyprotein
11725,ORF1ab polyprotein
7936,ORF1ab polyprotein
2541,ORF1ab polyprotein
8720,ORF1ab polyprotein
11490,ORF3 protein
1926,ORF1ab polyprotein
7301,ORF1a polyprotein
13010,ORF8b protein
6379,nucleocapsid phosphoprotein
7569,surface glycoprotein
2843,ORF1a polyprotein
6353,ORF1a polyprotein
5112,nucleocapsid phosphoprotein
6298,ORF1ab polyprotein
10559,ORF8 protein
5045,ORF1ab polyprotein
608,surface glycoprotein
12297,surface glycoprotein
3159,ORF1ab polyprotein
1975,ORF1ab polyprotein
7351,surface glycoprotein
8278,surface glycoprotein
8510,membrane glycoprotein
8043,ORF1a polyprotein
11652,surface glycoprotein
12852,ORF1a polyprotein
8314,ORF1a polyprotein
6965,surface glycoprotein
9533,ORF1a polyprotein
4605,ORF1a polyprotein
2746,ORF1ab polyprotein
988,ORF1ab polyprotein
8386,ORF1ab polyprotein
10430,ORF1ab polyprotein
3312,surface glycoprotein
13187,nucleocapsid phosphoprotein
11581,ORF1ab polyprotein
4788,ORF8 protein
4115,ORF1a polyprotein
8457,ORF1a polyprotein
164,ORF1ab polyprotein
10323,ORF1a polyprotein
3908,ORF1ab polyprotein
6918,ORF1ab polyprotein
1743,ORF1a polyprotein
8772,ORF3a protein
5799,ORF1ab polyprotein
12743,envelope protein
2286,ORF1a polyprotein
8177,ORF1ab polyprotein
441,ORF1ab polyprotein
9516,nucleocapsid phosphoprotein
6250,ORF1a polyprotein
1143,ORF1a polyprotein
13073,ORF4b protein
7294,ORF1ab polyprotein
2855,ORF1a polyprotein
377,ORF1ab polyprotein
2557,ORF1ab polyprotein
7135,ORF1ab polyprotein
3070,ORF1ab polyprotein
7857,ORF1ab polyprotein
867,ORF1ab polyprotein
2726,ORF1a polyprotein
9588,ORF1ab polyprotein
6756,ORF1a polyprotein
3072,ORF1a polyprotein
2862,ORF1a polyprotein
8049,ORF1ab polyprotein
8084,ORF1ab polyprotein
11790,ORF1ab polyprotein
3215,ORF1ab polyprotein
1860,ORF1a polyprotein
10005,ORF1a polyprotein
11314,ORF1a polyprotein
1421,ORF1a polyprotein
476,ORF1ab polyprotein
9956,ORF1a polyprotein
4910,surface glycoprotein
2986,ORF1a polyprotein
12145,ORF1ab polyprotein
10922,nucleocapsid phosphoprotein
12046,ORF1a polyprotein
8848,ORF1ab polyprotein
11878,surface glycoprotein
5256,ORF1ab polyprotein
5486,ORF1a polyprotein
5605,ORF1a polyprotein
697,ORF1ab polyprotein
504,surface glycoprotein
5878,ORF1a polyprotein
1346,ORF1ab polyprotein
9510,ORF1ab polyprotein
11231,ORF1a polyprotein
7790,ORF1a polyprotein
9474,ORF1a polyprotein
1929,ORF1ab polyprotein
1154,ORF1ab polyprotein
12084,ORF1ab polyprotein
3003,ORF1ab polyprotein
12974,ORF1ab polyprotein
2627,ORF1a polyprotein
9405,nucleocapsid phosphoprotein
5726,ORF1a polyprotein
5950,surface glycoprotein
12475,surface glycoprotein
4006,ORF1ab polyprotein
11168,surface glycoprotein
5715,ORF1a polyprotein
7774,ORF1a polyprotein
5970,ORF1a polyprotein
2324,ORF1ab polyprotein
9493,ORF1a polyprotein
9318,ORF1a polyprotein
9053,ORF1a polyprotein
6063,ORF1ab polyprotein
12901,ORF1a polyprotein
8208,ORF1ab polyprotein
7763,ORF1ab polyprotein
8508,ORF1a polyprotein
8693,ORF1a polyprotein
6662,surface glycoprotein
7132,surface glycoprotein
1099,ORF1ab polyprotein
11988,surface glycoprotein
2505,ORF1ab polyprotein
4860,surface glycoprotein
12916,ORF5 protein
1057,ORF1ab polyprotein
8035,ORF1a polyprotein
4385,ORF1ab polyprotein
1787,ORF1a polyprotein
11044,ORF1a polyprotein
8790,ORF1ab polyprotein
60,ORF1ab polyprotein
3843,ORF1ab polyprotein
3768,ORF1ab polyprotein
4074,ORF1a polyprotein
8741,ORF1ab polyprotein
1609,ORF1a polyprotein
2273,ORF1a polyprotein
6242,ORF1ab polyprotein
11506,ORF1a polyprotein
9306,surface glycoprotein
1928,ORF1a polyprotein
9928,ORF1ab polyprotein
5641,ORF1ab polyprotein
219,ORF1ab polyprotein
880,ORF1a polyprotein
1907,ORF1ab polyprotein
313,ORF1ab polyprotein
10542,surface glycoprotein
9504,ORF1ab polyprotein
6035,ORF1a polyprotein
383,ORF1ab polyprotein
4468,nucleocapsid phosphoprotein
10478,ORF1ab polyprotein
10888,surface glycoprotein
7234,nucleocapsid phosphoprotein
6678,ORF1ab polyprotein
7915,ORF1ab polyprotein
1121,ORF1a polyprotein
9773,ORF1ab polyprotein
760,surface glycoprotein
10573,ORF1ab polyprotein
5521,nucleocapsid phosphoprotein
10600,ORF1ab polyprotein
4712,ORF1ab polyprotein
12355,ORF1ab polyprotein
10273,ORF1a polyprotein
12844,surface glycoprotein
9525,ORF1a polyprotein
11138,nucleocapsid phosphoprotein
11680,surface glycoprotein
3366,nucleocapsid phosphoprotein
10345,ORF1a polyprotein
10311,surface glycoprotein
1120,ORF1ab polyprotein
497,ORF1a polyprotein
12334,ORF8b protein
1473,ORF1a polyprotein
11402,surface glycoprotein
5205,ORF1ab polyprotein
10493,ORF1a polyprotein
10136,membrane glycoprotein
9715,ORF1a polyprotein
12673,membrane glycoprotein
11432,ORF1a polyprotein
9658,ORF1ab polyprotein
7326,surface glycoprotein
8660,ORF1ab polyprotein
1449,ORF1ab polyprotein
1657,ORF1ab polyprotein
4821,ORF1a polyprotein
6253,ORF1a polyprotein
11936,ORF1a polyprotein
11386,ORF1a polyprotein
3209,ORF1a polyprotein
12376,ORF1ab polyprotein
6056,ORF1a polyprotein
7074,surface glycoprotein
1127,ORF1ab polyprotein
472,ORF3a protein
4850,ORF1ab polyprotein
12666,ORF1ab polyprotein
3696,ORF1a polyprotein
7613,ORF1ab polyprotein
10602,surface glycoprotein
11270,membrane glycoprotein
12184,surface glycoprotein
10453,ORF1a polyprotein
4660,ORF1ab polyprotein
910,ORF1ab polyprotein
1250,ORF1a polyprotein
5466,ORF1a polyprotein
4635,surface glycoprotein
8363,ORF1a polyprotein
1440,ORF1ab polyprotein
10108,ORF1ab polyprotein
11868,envelope protein
3135,ORF1ab polyprotein
11524,envelope protein
10116,ORF7a protein
12362,ORF5 protein
302,ORF1ab polyprotein
3569,surface glycoprotein
6688,ORF1a polyprotein
8609,ORF1ab polyprotein
7027,ORF1a polyprotein
11750,surface glycoprotein
4037,nucleocapsid phosphoprotein
480,ORF1ab polyprotein
4577,ORF1a polyprotein
3039,ORF1a polyprotein
2035,ORF1ab polyprotein
7272,nucleocapsid phosphoprotein
2089,ORF1a polyprotein
6049,ORF1ab polyprotein
11291,ORF1a polyprotein
4340,ORF1ab polyprotein
4601,ORF1ab polyprotein
12578,ORF3 protein
168,ORF1ab polyprotein
11916,ORF4b protein
12004,ORF1ab polyprotein
7491,ORF1a polyprotein
1348,ORF1a polyprotein
12356,ORF4b protein
447,ORF1ab polyprotein
10530,ORF1ab polyprotein
8492,ORF1ab polyprotein
11749,surface glycoprotein
226,ORF1a polyprotein
4214,ORF1a polyprotein
9246,ORF1ab polyprotein
767,ORF1a polyprotein
498,ORF1ab polyprotein
5300,ORF1ab polyprotein
6501,ORF1a polyprotein
6182,surface glycoprotein
7083,ORF1ab polyprotein
12482,membrane glycoprotein
13113,ORF4a protein
11586,ORF1ab polyprotein
10807,ORF1ab polyprotein
4048,ORF1ab polyprotein
10815,ORF1ab polyprotein
11486,nucleocapsid phosphoprotein
12296,ORF1a polyprotein
11308,ORF8 protein
11611,ORF4b protein
3062,ORF1ab polyprotein
4094,ORF1ab polyprotein
12062,ORF1a polyprotein
5749,ORF1ab polyprotein
10383,ORF1ab polyprotein
1066,ORF1ab polyprotein
12604,ORF5 protein
3885,ORF1a polyprotein
8568,ORF1a polyprotein
2146,surface glycoprotein
4292,ORF1ab polyprotein
1873,ORF1ab polyprotein
7156,ORF8 protein
10476,ORF1a polyprotein
11799,ORF1ab polyprotein
6974,ORF1ab polyprotein
1338,ORF1a polyprotein
13049,ORF3 protein
10028,ORF1ab polyprotein
1050,ORF1ab polyprotein
2269,ORF1ab polyprotein
5388,ORF1ab polyprotein
9894,ORF1ab polyprotein
11772,ORF5 protein
3486,ORF1ab polyprotein
1457,surface glycoprotein
3698,ORF1a polyprotein
8570,ORF1a polyprotein
11588,ORF1ab polyprotein
9828,ORF1ab polyprotein
3772,ORF1ab polyprotein
1004,ORF1a polyprotein
12159,ORF4b protein
2025,ORF1ab polyprotein
7960,ORF1a polyprotein
3693,ORF1ab polyprotein
2162,ORF1ab polyprotein
6920,ORF1ab polyprotein
86,ORF1ab polyprotein
4554,nucleocapsid phosphoprotein
12712,nucleocapsid phosphoprotein
8694,ORF1ab polyprotein
3648,ORF1ab polyprotein
10566,ORF1ab polyprotein
8421,ORF1a polyprotein
10820,ORF1ab polyprotein
7247,ORF1ab polyprotein
4116,surface glycoprotein
12534,surface glycoprotein
8607,surface glycoprotein
2525,ORF1a polyprotein
560,ORF1a polyprotein
4919,ORF8 protein
2639,membrane glycoprotein
8135,ORF1a polyprotein
5135,ORF1a polyprotein
8474,ORF1ab polyprotein
4085,ORF1ab polyprotein
4744,ORF1ab polyprotein
2524,ORF1ab polyprotein
7817,ORF1ab polyprotein
9265,ORF1a polyprotein
1194,ORF1ab polyprotein
5875,ORF1ab polyprotein
11710,ORF5 protein
1335,nucleocapsid phosphoprotein
179,ORF1ab polyprotein
9974,ORF1a polyprotein
9716,ORF1ab polyprotein
9052,ORF1ab polyprotein
5061,ORF1a polyprotein
2740,ORF1a polyprotein
12951,ORF1a polyprotein
8168,ORF1a polyprotein
9909,ORF1ab polyprotein
7964,ORF1a polyprotein
3501,surface glycoprotein
11104,ORF1ab polyprotein
4513,ORF1ab polyprotein
6428,ORF1a polyprotein
1249,ORF1a polyprotein
10096,surface glycoprotein
12202,ORF1ab polyprotein
809,ORF1ab polyprotein
4779,ORF1ab polyprotein
778,ORF1ab polyprotein
9396,ORF1a polyprotein
7658,ORF1ab polyprotein
6252,ORF1a polyprotein
1750,surface glycoprotein
3725,ORF1a polyprotein
9233,ORF1a polyprotein
8672,ORF1ab polyprotein
8928,ORF1a polyprotein
1451,ORF1ab polyprotein
5919,ORF1a polyprotein
5433,ORF1ab polyprotein
12642,ORF4a protein
2619,ORF1ab polyprotein
10628,ORF1a polyprotein
1820,ORF1ab polyprotein
9523,ORF1ab polyprotein
6248,ORF1ab polyprotein
6794,ORF1ab polyprotein
4507,ORF1ab polyprotein
1673,ORF1a polyprotein
10226,ORF1ab polyprotein
11995,ORF1a polyprotein
5246,ORF1a polyprotein
4987,ORF1a polyprotein
12373,ORF5 protein
5408,nucleocapsid phosphoprotein
5027,ORF1a polyprotein
12254,ORF4a protein
12927,surface glycoprotein
2687,ORF1ab polyprotein
10803,ORF1ab polyprotein
12432,ORF1ab polyprotein
115,ORF1ab polyprotein
8129,ORF1ab polyprotein
2242,surface glycoprotein
12402,nucleocapsid phosphoprotein
2739,ORF1a polyprotein
1810,ORF1ab polyprotein
5636,ORF1a polyprotein
11543,ORF3 protein
2818,surface glycoprotein
1766,surface glycoprotein
2328,ORF1a polyprotein
5679,ORF1ab polyprotein
10661,surface glycoprotein
526,ORF1ab polyprotein
12156,ORF1ab polyprotein
1122,ORF1ab polyprotein
1134,ORF1ab polyprotein
9718,ORF1ab polyprotein
574,ORF1a polyprotein
12883,ORF1ab polyprotein
12894,surface glycoprotein
3128,ORF1ab polyprotein
3346,surface glycoprotein
10654,surface glycoprotein
7070,ORF1a polyprotein
12881,ORF1ab polyprotein
8112,surface glycoprotein
7574,ORF1a polyprotein
7209,ORF1ab polyprotein
11003,ORF1ab polyprotein
10195,ORF1ab polyprotein
9452,ORF1ab polyprotein
13021,nucleocapsid phosphoprotein
8292,ORF1a polyprotein
5052,ORF1a polyprotein
9219,ORF1ab polyprotein
3991,ORF1ab polyprotein
429,ORF1ab polyprotein
3434,ORF1a polyprotein
8987,surface glycoprotein
12174,surface glycoprotein
12017,ORF1ab polyprotein
8110,ORF1a polyprotein
3020,ORF1ab polyprotein
2477,ORF1ab polyprotein
6722,ORF1ab polyprotein
2928,ORF1ab polyprotein
4142,ORF1ab polyprotein
7078,ORF1ab polyprotein
10899,ORF1a polyprotein
3307,ORF1a polyprotein
5267,ORF1a polyprotein
3620,ORF1ab polyprotein
734,ORF1a polyprotein
8039,ORF1ab polyprotein
11031,surface glycoprotein
9125,ORF1ab polyprotein
857,ORF1ab polyprotein
7657,surface glycoprotein
10701,ORF1a polyprotein
9461,ORF1a polyprotein
5949,ORF1ab polyprotein
8414,ORF1ab polyprotein
2015,ORF1ab polyprotein
9182,ORF1a polyprotein
5503,ORF1ab polyprotein
12118,ORF1a polyprotein
7908,ORF1a polyprotein
12026,ORF1ab polyprotein
1700,surface glycoprotein
5059,ORF1ab polyprotein
8267,ORF1ab polyprotein
7601,ORF1a polyprotein
6796,ORF1a polyprotein
8226,ORF1a polyprotein
3738,surface glycoprotein
4461,nucleocapsid phosphoprotein
18,surface glycoprotein
10514,ORF1a polyprotein
12921,surface glycoprotein
10458,ORF1a polyprotein
8466,surface glycoprotein
8133,ORF1ab polyprotein
9980,ORF1a polyprotein
10124,ORF1ab polyprotein
12445,membrane glycoprotein
10486,ORF1a polyprotein
9075,ORF1ab polyprotein
2560,nucleocapsid phosphoprotein
5160,ORF1a polyprotein
11700,ORF8b protein
3809,ORF1ab polyprotein
5639,ORF1a polyprotein
7691,surface glycoprotein
3976,ORF1ab polyprotein
11619,surface glycoprotein
1938,ORF1ab polyprotein
11043,ORF1ab polyprotein
4446,ORF1ab polyprotein
4904,ORF1ab polyprotein
5973,ORF1ab polyprotein
12078,ORF4b protein
2951,ORF1ab polyprotein
9568,ORF1ab polyprotein
3007,ORF1a polyprotein
1100,ORF1ab polyprotein
4931,ORF1a polyprotein
8484,ORF1ab polyprotein
4145,surface glycoprotein
11815,ORF8b protein
9451,ORF1a polyprotein
1656,surface glycoprotein
12860,membrane glycoprotein
10842,surface glycoprotein
12446,ORF5 protein
5235,ORF1a polyprotein
4969,ORF1a polyprotein
7054,ORF1ab polyprotein
889,ORF1ab polyprotein
11183,surface glycoprotein
10699,ORF1a polyprotein
1535,ORF1a polyprotein
4386,ORF1a polyprotein
2079,ORF1ab polyprotein
12680,ORF1ab polyprotein
5468,ORF1ab polyprotein
3120,surface glycoprotein
12815,ORF3 protein
2421,ORF1a polyprotein
10182,ORF1ab polyprotein
13151,ORF3 protein
12095,ORF1ab polyprotein
6487,ORF1ab polyprotein
11880,ORF1a polyprotein
9113,surface glycoprotein
10209,surface glycoprotein
5176,ORF1ab polyprotein
10629,ORF1a polyprotein
12566,nucleocapsid phosphoprotein
2838,surface glycoprotein
5624,ORF1ab polyprotein
3456,ORF1a polyprotein
11236,ORF1ab polyprotein
5047,ORF1ab polyprotein
1827,ORF1ab polyprotein
5226,ORF1ab polyprotein
1184,ORF1ab polyprotein
6220,ORF8 protein
6318,ORF1a polyprotein
12395,ORF1a polyprotein
12571,ORF1ab polyprotein
4226,ORF1a polyprotein
5382,ORF1a polyprotein
257,ORF1ab polyprotein
1067,ORF1ab polyprotein
4393,ORF1ab polyprotein
11739,nucleocapsid phosphoprotein
8865,ORF1ab polyprotein
12751,ORF1a polyprotein
2944,surface glycoprotein
531,ORF1ab polyprotein
12847,nucleocapsid phosphoprotein
9368,ORF1a polyprotein
926,ORF1a polyprotein
2882,ORF1a polyprotein
262,ORF1ab polyprotein
8988,ORF1ab polyprotein
2963,ORF1ab polyprotein
8897,ORF1ab polyprotein
13126,ORF5 protein
6424,ORF1a polyprotein
397,nucleocapsid phosphoprotein
3813,ORF1ab polyprotein
102,ORF8 protein
13200,surface glycoprotein
5622,ORF1a polyprotein
5196,ORF1a polyprotein
8745,ORF1ab polyprotein
1708,ORF1ab polyprotein
1948,ORF1a polyprotein
10032,ORF1ab polyprotein
5428,ORF1ab polyprotein
10127,ORF1a polyprotein
12014,surface glycoprotein
2825,ORF1a polyprotein
4900,ORF8 protein
2234,ORF1a polyprotein
442,ORF1ab polyprotein
13108,membrane glycoprotein
10025,ORF1ab polyprotein
11337,ORF1ab polyprotein
12431,ORF1a polyprotein
5984,ORF1a polyprotein
9033,ORF1a polyprotein
10872,surface glycoprotein
6418,ORF1ab polyprotein
1104,ORF1a polyprotein
12464,ORF1ab polyprotein
5448,ORF1ab polyprotein
116,ORF1a polyprotein
9622,surface glycoprotein
10835,ORF1ab polyprotein
6549,ORF3a protein
8304,ORF1a polyprotein
881,ORF1ab polyprotein
8260,ORF1ab polyprotein
10118,ORF1ab polyprotein
12274,ORF1a polyprotein
4739,ORF1a polyprotein
1324,ORF3a protein
10793,ORF1ab polyprotein
7661,ORF1ab polyprotein
351,ORF1ab polyprotein
10618,ORF1ab polyprotein
6164,ORF1ab polyprotein
6985,ORF1ab polyprotein
8738,ORF1a polyprotein
4750,ORF1a polyprotein
193,ORF1ab polyprotein
2841,ORF1ab polyprotein
11072,nucleocapsid phosphoprotein
13019,ORF1ab polyprotein
4421,ORF1ab polyprotein
9900,ORF1a polyprotein
2985,ORF1a polyprotein
12979,ORF3 protein
6880,ORF1ab polyprotein
5478,ORF1a polyprotein
1436,ORF1a polyprotein
7423,surface glycoprotein
11076,ORF1a polyprotein
10883,surface glycoprotein
3592,surface glycoprotein
6629,ORF1ab polyprotein
8822,ORF1a polyprotein
3639,ORF1ab polyprotein
1665,ORF1a polyprotein
6886,ORF1a polyprotein
9481,ORF1a polyprotein
6319,ORF1ab polyprotein
11696,ORF1ab polyprotein
5362,ORF1ab polyprotein
6766,ORF1ab polyprotein
1799,ORF1a polyprotein
553,ORF1ab polyprotein
11367,ORF1ab polyprotein
6624,ORF1ab polyprotein
8945,ORF1ab polyprotein
7540,ORF1ab polyprotein
4271,ORF1ab polyprotein
2803,nucleocapsid phosphoprotein
5986,ORF1a polyprotein
11778,surface glycoprotein
166,ORF1a polyprotein
8994,ORF1a polyprotein
114,ORF1ab polyprotein
7678,ORF1ab polyprotein
10457,surface glycoprotein
7284,ORF1a polyprotein
6193,ORF3a protein
5983,ORF1ab polyprotein
5413,ORF1a polyprotein
3566,ORF1a polyprotein
9623,ORF1a polyprotein
206,ORF1ab polyprotein
9103,ORF1a polyprotein
1652,ORF1ab polyprotein
2821,ORF1ab polyprotein
1776,ORF1ab polyprotein
10052,ORF1ab polyprotein
982,ORF1a polyprotein
2181,ORF1a polyprotein
5954,ORF1ab polyprotein
3942,nucleocapsid phosphoprotein
2569,ORF1ab polyprotein
10210,ORF1a polyprotein
6606,ORF1ab polyprotein
7241,ORF1ab polyprotein
1618,ORF1ab polyprotein
8654,ORF1ab polyprotein
1493,ORF1ab polyprotein
13104,ORF3 protein
6668,ORF1a polyprotein
6027,ORF1ab polyprotein
1079,ORF1ab polyprotein
3193,ORF1ab polyprotein
3017,ORF1ab polyprotein
1177,ORF1a polyprotein
6215,ORF1ab polyprotein
2001,ORF1ab polyprotein
10908,ORF1ab polyprotein
1905,ORF1a polyprotein
9914,ORF1a polyprotein
11041,ORF1ab polyprotein
10570,ORF1a polyprotein
165,ORF1ab polyprotein
6704,ORF1ab polyprotein
11963,ORF1ab polyprotein
5548,ORF1ab polyprotein
7308,ORF1ab polyprotein
7865,ORF1a polyprotein
12594,ORF3 protein
9844,ORF1ab polyprotein
635,ORF1ab polyprotein
9865,ORF1a polyprotein
5652,ORF1ab polyprotein
7986,ORF1a polyprotein
1554,ORF1ab polyprotein
11289,ORF1a polyprotein
11612,ORF1ab polyprotein
6649,ORF1a polyprotein
12845,ORF4b protein
2475,surface glycoprotein
4286,ORF1ab polyprotein
2713,ORF1ab polyprotein
4417,ORF1a polyprotein
8272,ORF1ab polyprotein
7453,ORF3a protein
10006,surface glycoprotein
6341,nucleocapsid phosphoprotein
2610,surface glycoprotein
12265,ORF1a polyprotein
6456,surface glycoprotein
3481,ORF1a polyprotein
8303,ORF1ab polyprotein
4438,surface glycoprotein
13182,ORF5 protein
1116,surface glycoprotein
11445,surface glycoprotein
4926,ORF1ab polyprotein
4719,ORF1ab polyprotein
8473,ORF1a polyprotein
7443,ORF1a polyprotein
2053,ORF1ab polyprotein
4051,ORF1ab polyprotein
1939,ORF1ab polyprotein
3213,ORF1ab polyprotein
13000,envelope protein
8760,ORF1ab polyprotein
4144,ORF1a polyprotein
9949,surface glycoprotein
12161,ORF1ab polyprotein
3152,ORF1ab polyprotein
6494,surface glycoprotein
7792,ORF1ab polyprotein
4254,ORF1a polyprotein
6236,ORF1a polyprotein
6856,ORF1a polyprotein
5695,ORF1a polyprotein
6101,ORF1ab polyprotein
5574,ORF1a polyprotein
1947,ORF1a polyprotein
9883,ORF1ab polyprotein
5830,ORF1a polyprotein
8067,ORF1ab polyprotein
3909,membrane glycoprotein
3742,ORF1ab polyprotein
13011,membrane glycoprotein
665,ORF1ab polyprotein
11795,ORF1ab polyprotein
5389,ORF3a protein
430,ORF1ab polyprotein
11361,ORF1ab polyprotein
4763,surface glycoprotein
9765,ORF1ab polyprotein
5725,ORF1ab polyprotein
6139,ORF1ab polyprotein
11907,ORF1ab polyprotein
2686,ORF1ab polyprotein
1952,ORF1a polyprotein
1588,ORF1ab polyprotein
5775,ORF1ab polyprotein
10263,ORF1ab polyprotein
10603,ORF1a polyprotein
3476,ORF3a protein
7424,ORF1ab polyprotein
5279,ORF1ab polyprotein
3277,ORF1a polyprotein
4747,ORF1ab polyprotein
6777,ORF1ab polyprotein
6899,surface glycoprotein
6316,ORF1a polyprotein
3670,ORF1ab polyprotein
4545,ORF1ab polyprotein
3502,surface glycoprotein
8127,ORF1ab polyprotein
3373,surface glycoprotein
607,ORF1a polyprotein
5148,ORF1a polyprotein
4184,ORF1ab polyprotein
8396,ORF1a polyprotein
5547,ORF1a polyprotein
6373,ORF1a polyprotein
6926,ORF1ab polyprotein
5572,ORF1ab polyprotein
3565,ORF1a polyprotein
11223,ORF1a polyprotein
7939,ORF1ab polyprotein
11577,ORF1ab polyprotein
5539,surface glycoprotein
1354,ORF1ab polyprotein
8344,ORF1a polyprotein
4192,ORF1ab polyprotein
9158,ORF1ab polyprotein
4598,ORF1ab polyprotein
9680,nucleocapsid phosphoprotein
4782,ORF1a polyprotein
8811,ORF1ab polyprotein
2208,ORF1ab polyprotein
10291,ORF1ab polyprotein
7071,ORF1ab polyprotein
11163,surface glycoprotein
5101,ORF1a polyprotein
7177,nucleocapsid phosphoprotein
10505,ORF1ab polyprotein
12623,ORF1ab polyprotein
1342,ORF1a polyprotein
9936,ORF1ab polyprotein
3624,ORF1a polyprotein
7362,nucleocapsid phosphoprotein
8469,ORF1ab polyprotein
8500,surface glycoprotein
10292,ORF1a polyprotein
5398,ORF3a protein
4848,ORF1a polyprotein
1932,ORF1ab polyprotein
6000,ORF1ab polyprotein
12397,surface glycoprotein
2970,surface glycoprotein
9168,ORF1a polyprotein
2057,ORF1ab polyprotein
850,surface glycoprotein
6414,ORF3a protein
11738,surface glycoprotein
528,ORF1a polyprotein
8437,ORF1ab polyprotein
10126,surface glycoprotein
12806,surface glycoprotein
2785,ORF3a protein
11351,ORF3 protein
9437,surface glycoprotein
3539,ORF1ab polyprotein
9597,ORF1ab polyprotein
11758,surface glycoprotein
6946,ORF1a polyprotein
